date,open,high,low,close,volume,SMA
2023-01-09,358.7300109863281,361.7300109863281,356.2200012207031,356.3299865722656,3775300.0,352.8159973144531
2023-01-10,355.8399963378906,358.95001220703125,354.9599914550781,358.8699951171875,3495700.0,354.5919982910156
2023-01-11,360.4100036621094,363.510009765625,359.6600036621094,363.4500122070313,5710500.0,356.7799987792969
2023-01-12,364.4800109863281,366.1499938964844,360.6000061035156,364.80999755859375,4743500.0,360.00999755859374
2023-01-13,361.6799926757813,366.7300109863281,361.4700012207031,366.2300109863281,3015200.0,361.93800048828126
2023-01-17,366.1900024414063,367.7200012207031,364.8699951171875,365.6700134277344,4942000.0,363.806005859375
2023-01-18,366.6700134277344,367.6600036621094,359.5799865722656,359.7300109863281,3931800.0,363.97800903320314
2023-01-19,357.760009765625,359.3599853515625,355.8500061035156,357.1400146484375,3569900.0,362.71600952148435
2023-01-20,358.45001220703125,363.9100036621094,356.8800048828125,363.7099914550781,3265100.0,362.4960083007812
2023-01-23,364.510009765625,370.0,363.6499938964844,368.1400146484375,3243300.0,362.8780090332031
2023-01-24,366.5700073242188,368.6099853515625,365.4200134277344,367.75,2702400.0,363.29400634765625
2023-01-25,363.7799987792969,368.1600036621094,361.6600036621094,367.8800048828125,3061700.0,364.92400512695315
2023-01-26,370.4599914550781,372.05999755859375,367.6099853515625,371.80999755859375,3460900.0,367.8580017089844
2023-01-27,370.8900146484375,375.0799865722656,370.760009765625,372.8699951171875,5549500.0,369.69000244140625
2023-01-30,370.1499938964844,372.2900085449219,367.8599853515625,368.2099914550781,3280600.0,369.70399780273436
2023-01-31,368.6099853515625,373.5400085449219,368.3299865722656,373.4400024414063,4181700.0,370.8419982910156
2023-02-01,372.4400024414063,380.1600036621094,369.760009765625,377.5299987792969,4941700.0,372.7719970703125
2023-02-02,381.25,384.4100036621094,379.3999938964844,382.9400024414063,5207900.0,374.99799804687507
2023-02-03,378.2300109863281,383.2000122070313,377.7900085449219,378.8500061035156,6472500.0,376.1940002441407
2023-02-06,376.5799865722656,377.9299926757813,375.0199890136719,376.6600036621094,2880100.0,377.88400268554693
2023-02-07,375.7900085449219,382.75,374.6199951171875,381.5199890136719,4504600.0,379.5
2023-02-08,379.6900024414063,380.9299926757813,376.7300109863281,377.3399963378906,2921500.0,379.4619995117188
2023-02-09,380.9700012207031,381.0,372.9500122070313,374.1099853515625,3327700.0,377.69599609375
2023-02-10,373.0,375.3900146484375,372.2000122070313,375.0199890136719,3256700.0,376.92999267578125
2023-02-13,375.6499938964844,379.4400024414063,375.2000122070313,379.3500061035156,2980600.0,377.4679931640625
2023-02-14,377.9599914550781,381.4200134277344,375.4500122070313,379.2099914550781,4718000.0,377.00599365234376
2023-02-15,377.1499938964844,380.5299987792969,376.3299865722656,380.4800109863281,2820200.0,377.6339965820313
2023-02-16,375.6600036621094,379.4299926757813,375.0899963378906,375.1900024414063,3077500.0,377.85
2023-02-17,373.1799926757813,374.4500122070313,371.3200073242188,374.2200012207031,3285300.0,377.69000244140625
2023-02-21,370.3999938964844,371.3399963378906,366.4800109863281,366.7900085449219,3109200.0,375.1780029296875
2023-02-22,367.1799926757813,368.6000061035156,364.8399963378906,366.3299865722656,3872000.0,372.602001953125
2023-02-23,369.0700073242188,369.5700073242188,364.1300048828125,368.1700134277344,2867200.0,370.14000244140624
2023-02-24,363.30999755859375,365.0299987792969,361.7300109863281,364.2300109863281,4055000.0,367.9480041503906
2023-02-27,367.489990234375,368.7699890136719,364.5899963378906,365.489990234375,3300100.0,366.202001953125
2023-02-28,365.010009765625,366.8599853515625,364.0499877929688,364.1099853515625,3022200.0,365.66599731445314
2023-03-01,363.3399963378906,364.510009765625,361.4500122070313,362.7799987792969,3764700.0,364.95599975585935
2023-03-02,360.80999755859375,366.3599853515625,360.5299987792969,365.489990234375,2727200.0,364.4199951171875
2023-03-03,367.2900085449219,371.6700134277344,366.7000122070313,371.2799987792969,4913600.0,365.8299926757812
2023-03-06,372.260009765625,374.4400024414063,371.2999877929688,371.7300109863281,2638300.0,367.0779968261719
2023-03-07,371.6300048828125,371.8900146484375,365.3900146484375,365.9800109863281,3546100.0,367.452001953125
2023-03-08,366.1099853515625,367.2999877929688,364.4400024414063,366.5499877929688,2906300.0,368.20599975585935
2023-03-09,367.3500061035156,368.8800048828125,358.8500061035156,359.8399963378906,4409600.0,367.0760009765625
2023-03-10,359.3299865722656,361.239990234375,353.1400146484375,354.67999267578125,8360400.0,363.75599975585936
2023-03-13,350.760009765625,358.6700134277344,349.760009765625,354.0799865722656,6478700.0,360.2259948730469
2023-03-14,358.8800048828125,361.510009765625,355.6300048828125,359.9599914550781,4798800.0,359.02199096679686
2023-03-15,354.4599914550781,357.8800048828125,352.57000732421875,357.739990234375,6610400.0,357.25999145507814
2023-03-16,355.5400085449219,364.260009765625,354.989990234375,363.8599853515625,5016700.0,358.0639892578125
2023-03-17,362.760009765625,363.7900085449219,358.4200134277344,359.8800048828125,5189900.0,359.10399169921874
2023-03-20,360.4700012207031,363.5799865722656,359.82000732421875,363.1300048828125,3099800.0,360.91399536132815
