date,open,high,low,close,volume
2023-01-03,353.17999267578125,355.0400085449219,347.19000244140625,349.989990234375,4957300.0
2023-01-04,352.1000061035156,354.55999755859375,349.20001220703125,352.510009765625,3119100.0
2023-01-05,350.7300109863281,350.79998779296875,348.05999755859375,348.6600036621094,3216500.0
2023-01-06,351.5899963378906,357.6700134277344,348.739990234375,356.5899963378906,3464800.0
2023-01-09,358.7300109863281,361.7300109863281,356.2200012207031,356.3299865722656,3775300.0
2023-01-10,355.8399963378906,358.95001220703125,354.9599914550781,358.8699951171875,3495700.0
2023-01-11,360.4100036621094,363.510009765625,359.6600036621094,363.45001220703125,5710500.0
2023-01-12,364.4800109863281,366.1499938964844,360.6000061035156,364.80999755859375,4743500.0
2023-01-13,361.67999267578125,366.7300109863281,361.4700012207031,366.2300109863281,3015200.0
2023-01-17,366.19000244140625,367.7200012207031,364.8699951171875,365.6700134277344,4942000.0
2023-01-18,366.6700134277344,367.6600036621094,359.5799865722656,359.7300109863281,3931800.0
2023-01-19,357.760009765625,359.3599853515625,355.8500061035156,357.1400146484375,3569900.0
2023-01-20,358.45001220703125,363.9100036621094,356.8800048828125,363.7099914550781,3265100.0
2023-01-23,364.510009765625,370.0,363.6499938964844,368.1400146484375,3243300.0
2023-01-24,366.57000732421875,368.6099853515625,365.4200134277344,367.75,2702400.0
2023-01-25,363.7799987792969,368.1600036621094,361.6600036621094,367.8800048828125,3061700.0
2023-01-26,370.4599914550781,372.05999755859375,367.6099853515625,371.80999755859375,3460900.0
2023-01-27,370.8900146484375,375.0799865722656,370.760009765625,372.8699951171875,5549500.0
2023-01-30,370.1499938964844,372.2900085449219,367.8599853515625,368.2099914550781,3280600.0
2023-01-31,368.6099853515625,373.5400085449219,368.3299865722656,373.44000244140625,4181700.0
2023-02-01,372.44000244140625,380.1600036621094,369.760009765625,377.5299987792969,4941700.0
2023-02-02,381.25,384.4100036621094,379.3999938964844,382.94000244140625,5207900.0
2023-02-03,378.2300109863281,383.20001220703125,377.7900085449219,378.8500061035156,6472500.0
2023-02-06,376.5799865722656,377.92999267578125,375.0199890136719,376.6600036621094,2880100.0
2023-02-07,375.7900085449219,382.75,374.6199951171875,381.5199890136719,4504600.0
2023-02-08,379.69000244140625,380.92999267578125,376.7300109863281,377.3399963378906,2921500.0
2023-02-09,380.9700012207031,381.0,372.95001220703125,374.1099853515625,3327700.0
2023-02-10,373.0,375.3900146484375,372.20001220703125,375.0199890136719,3256700.0
2023-02-13,375.6499938964844,379.44000244140625,375.20001220703125,379.3500061035156,2980600.0
2023-02-14,377.9599914550781,381.4200134277344,375.45001220703125,379.2099914550781,4718000.0
2023-02-15,377.1499938964844,380.5299987792969,376.3299865722656,380.4800109863281,2820200.0
2023-02-16,375.6600036621094,379.42999267578125,375.0899963378906,375.19000244140625,3077500.0
2023-02-17,373.17999267578125,374.45001220703125,371.32000732421875,374.2200012207031,3285300.0
2023-02-21,370.3999938964844,371.3399963378906,366.4800109863281,366.7900085449219,3109200.0
2023-02-22,367.17999267578125,368.6000061035156,364.8399963378906,366.3299865722656,3872000.0
2023-02-23,369.07000732421875,369.57000732421875,364.1300048828125,368.1700134277344,2867200.0
2023-02-24,363.30999755859375,365.0299987792969,361.7300109863281,364.2300109863281,4055000.0
2023-02-27,367.489990234375,368.7699890136719,364.5899963378906,365.489990234375,3300100.0
2023-02-28,365.010009765625,366.8599853515625,364.04998779296875,364.1099853515625,3022200.0
2023-03-01,363.3399963378906,364.510009765625,361.45001220703125,362.7799987792969,3764700.0
2023-03-02,360.80999755859375,366.3599853515625,360.5299987792969,365.489990234375,2727200.0
2023-03-03,367.2900085449219,371.6700134277344,366.70001220703125,371.2799987792969,4913600.0
2023-03-06,372.260009765625,374.44000244140625,371.29998779296875,371.7300109863281,2638300.0
2023-03-07,371.6300048828125,371.8900146484375,365.3900146484375,365.9800109863281,3546100.0
2023-03-08,366.1099853515625,367.29998779296875,364.44000244140625,366.54998779296875,2906300.0
2023-03-09,367.3500061035156,368.8800048828125,358.8500061035156,359.8399963378906,4409600.0
2023-03-10,359.3299865722656,361.239990234375,353.1400146484375,354.67999267578125,8360400.0
2023-03-13,350.760009765625,358.6700134277344,349.760009765625,354.0799865722656,6478700.0
2023-03-14,358.8800048828125,361.510009765625,355.6300048828125,359.9599914550781,4798800.0
2023-03-15,354.4599914550781,357.8800048828125,352.57000732421875,357.739990234375,6610400.0
2023-03-16,355.5400085449219,364.260009765625,354.989990234375,363.8599853515625,5016700.0
2023-03-17,362.760009765625,363.7900085449219,358.4200134277344,359.8800048828125,5189900.0
2023-03-20,360.4700012207031,363.5799865722656,359.82000732421875,363.1300048828125,3099800.0
2023-03-21,366.4200134277344,368.4100036621094,364.8800048828125,367.8800048828125,4117600.0
2023-03-22,367.7799987792969,371.2200012207031,361.6600036621094,361.7799987792969,4094800.0
2023-03-23,364.4800109863281,368.2900085449219,360.1199951171875,362.6400146484375,4787200.0
2023-03-24,359.9800109863281,363.6300048828125,357.7200012207031,363.55999755859375,3740400.0
2023-03-27,365.7300109863281,366.42999267578125,363.3999938964844,364.1600036621094,4144800.0
2023-03-28,363.5400085449219,364.20001220703125,361.67999267578125,363.5199890136719,2413700.0
2023-03-29,367.3999938964844,368.94000244140625,366.2900085449219,368.69000244140625,3636100.0
2023-03-30,371.2300109863281,371.4800109863281,369.1000061035156,370.8900146484375,3316700.0
2023-03-31,371.7799987792969,376.3399963378906,371.6499938964844,376.07000732421875,4159800.0
2023-04-03,375.6000061035156,377.9100036621094,375.2200012207031,377.55999755859375,3525300.0
2023-04-04,378.19000244140625,378.3999938964844,374.1300048828125,375.42999267578125,2713300.0
2023-04-05,374.7099914550781,375.4200134277344,372.8900146484375,374.5199890136719,3227700.0
2023-04-06,373.6700134277344,376.19000244140625,372.7200012207031,375.95001220703125,3076200.0
2023-04-10,373.54998779296875,376.3900146484375,372.9599914550781,376.3599853515625,2671100.0
2023-04-11,376.8999938964844,377.760009765625,375.69000244140625,376.4100036621094,3069000.0
2023-04-12,378.3999938964844,378.6199951171875,374.32000732421875,374.9100036621094,3624200.0
